term,parameter,crop_num,estimate,std.error,conf_2.5,conf_97.5,rhat,ess,conf_25,conf_75,Year,Session,Date,Run_ID,crop_name,prior_mean,prior_sd
scale_surface[2],scale_surface,2,3.29447729843959,0.666314602678365,2.18012942451223,4.75281368435148,1.00006001942987,20000,2.82668245813953,3.68352298877263,2010,4,2010-08-16,_current,Switchgrass,6,5
scale_surface[3],scale_surface,3,4.71897718779435,1.6763948137305,2.08889157706587,8.65983754136583,1.00000832418234,20000,3.55125955693853,5.63070768938615,2010,4,2010-08-16,_current,Miscanthus,6,5
scale_surface[4],scale_surface,4,4.48101842703377,1.2455285864487,2.18713174586771,7.19504534151995,1.0000051765112,20000,3.66728434259921,5.20425749508038,2010,4,2010-08-16,_current,Prairie,6,5
sig_tube,sig_tube,NA,0.696527998005306,0.0913451094990363,0.526530861872917,0.887726769292369,1.00122717706438,4655,0.633600934704816,0.755189026138226,2010,4,2010-08-16,_current,NA,0,3
sigma[1],sigma,1,1.51892300858167,0.0910790194823241,1.3509690683431,1.71082735097737,0.999887598041994,20000,1.45559419479152,1.57668981650476,2010,4,2010-08-16,_current,Maize-Soybean,0,3
sigma[2],sigma,2,1.76357225875804,0.0901552619228652,1.59602108216766,1.95172366433825,0.99985994489063,20000,1.70100607048829,1.8217744631197,2010,4,2010-08-16,_current,Switchgrass,0,3
sigma[3],sigma,3,1.61657046397208,0.0892717726624591,1.45118359163826,1.79912593010269,0.999881712465255,20000,1.55399737371219,1.67471123488556,2010,4,2010-08-16,_current,Miscanthus,0,3
sigma[4],sigma,4,1.8096752544461,0.0895293640008642,1.64115168018165,1.99096852355099,1.00003596213151,20000,1.74832256290364,1.86803287333409,2010,4,2010-08-16,_current,Prairie,0,3
b_depth[1],b_depth,1,-0.0459057936340934,0.295246053512439,-0.698394560615827,0.460414790855573,1.00026508533748,4758,-0.229738404268369,0.163625742462761,2010,5,2010-10-10,_current,Maize-Soybean,-1,5
b_depth[2],b_depth,2,-1.46126038311054,0.254913055486149,-1.96634372064756,-0.969046432564464,0.999961518629036,12413,-1.63320814226643,-1.2862813589423,2010,5,2010-10-10,_current,Switchgrass,-1,5
b_depth[3],b_depth,3,-0.710406577060056,0.288742551593947,-1.33373707862909,-0.199528930378732,1.00002947598268,9914,-0.888256881380604,-0.51036817568641,2010,5,2010-10-10,_current,Miscanthus,-1,5
b_depth[4],b_depth,4,-1.24635832383624,0.271527710898038,-1.80327325156902,-0.738024492897222,1.00026571336221,11750,-1.42271397480408,-1.05920766050005,2010,5,2010-10-10,_current,Prairie,-1,5
intercept[1],intercept,1,-8.35448210434503,0.275619099926273,-8.88815116835768,-7.80737807208489,1.00008957220394,3661,-8.5387104422458,-8.17001419487791,2010,5,2010-10-10,_current,Maize-Soybean,-6,6
intercept[2],intercept,2,-6.78216049902578,0.268305275718093,-7.30531048889048,-6.25027319421471,1.00044940424651,4008,-6.96274499101643,-6.60371011635261,2010,5,2010-10-10,_current,Switchgrass,-6,6
intercept[3],intercept,3,-7.97434724421888,0.301863262272269,-8.57243299035075,-7.38910856302555,1.0011435132139,3674,-8.17299048208764,-7.77019272198225,2010,5,2010-10-10,_current,Miscanthus,-6,6
intercept[4],intercept,4,-7.63574258443014,0.246212633941891,-8.1135997596785,-7.16178234324606,1.00046377679495,3494,-7.80222017860679,-7.47103847219867,2010,5,2010-10-10,_current,Prairie,-6,6
loc_detect,loc_detect,NA,-8.74576639980058,0.149433355783787,-9.04831813199343,-8.466381382928,1.00021570553493,6295,-8.84374922841065,-8.64235713290026,2010,5,2010-10-10,_current,NA,-8,10
loc_surface[1],loc_surface,1,19.1272701410686,12.7513199183454,-7.03669915225053,40.8553892152714,1.00043851928561,4129,10.5290572361695,28.6536493994025,2010,5,2010-10-10,_current,Maize-Soybean,13,10
loc_surface[2],loc_surface,2,17.3306929602213,2.32666721259172,12.7529027620687,21.9217831052433,1.00005104167519,11798,15.7742550686358,18.8592347414997,2010,5,2010-10-10,_current,Switchgrass,13,10
loc_surface[3],loc_surface,3,14.222898145757,6.57955423321248,1.43137992167157,27.2933860629677,1.00017358420527,9105,9.84481771001024,18.518041070949,2010,5,2010-10-10,_current,Miscanthus,13,10
loc_surface[4],loc_surface,4,20.1995750774302,3.06599384947863,14.2229418601352,26.2861232582341,1.00027076084143,8908,18.0944932630709,22.2856696088411,2010,5,2010-10-10,_current,Prairie,13,10
scale_detect,scale_detect,NA,1.3673026022096,0.169864529792058,1.07065934279624,1.72815964883197,1.00011798612864,5228,1.24849698232871,1.47631299097998,2010,5,2010-10-10,_current,NA,0,6
scale_surface[1],scale_surface,1,12.2301851026697,3.53004648102366,3.68101772225435,19.0746619568025,1.00037423093772,3623,10.2068438853661,14.4289298242599,2010,5,2010-10-10,_current,Maize-Soybean,6,5
scale_surface[2],scale_surface,2,2.69259613113014,0.501668375015212,1.86881570754037,3.83562539552291,1.0008454708764,12025,2.34288549984151,2.97766414861924,2010,5,2010-10-10,_current,Switchgrass,6,5
scale_surface[3],scale_surface,3,6.19407922395546,2.78573178856781,1.92034853345718,12.6166479560978,0.999917698279426,16000,4.19518110252095,7.7752952444078,2010,5,2010-10-10,_current,Miscanthus,6,5
scale_surface[4],scale_surface,4,3.40488433888522,0.635058445587922,2.30883574392186,4.80426922646829,1.00018602047522,16000,2.97262541254903,3.78574094606275,2010,5,2010-10-10,_current,Prairie,6,5
sig_tube,sig_tube,NA,1.00978609262283,0.113871838805729,0.805515453808309,1.25281329432843,1.00029675737233,5732,0.930055684109961,1.08241546038051,2010,5,2010-10-10,_current,NA,0,3
sigma[1],sigma,1,2.25555336340285,0.105114195227425,2.06149414588613,2.4728222287754,0.99992047440828,16000,2.18294552834086,2.3239408047858,2010,5,2010-10-10,_current,Maize-Soybean,0,3
sigma[2],sigma,2,2.21796527328144,0.102618289677286,2.02652978975921,2.42847611243913,0.999929191428016,16000,2.14703941592777,2.28421264257504,2010,5,2010-10-10,_current,Switchgrass,0,3
sigma[3],sigma,3,2.50410621114641,0.130574696510277,2.26287751768241,2.7785243750817,1.0001556633288,16000,2.41496349251066,2.58818731496631,2010,5,2010-10-10,_current,Miscanthus,0,3
sigma[4],sigma,4,2.32623452725135,0.100908852370742,2.13971201510638,2.53466733423567,0.9998282052481,16000,2.25649579819995,2.39217562795423,2010,5,2010-10-10,_current,Prairie,0,3
b_depth[1],b_depth,1,-0.0278327616890204,0.180036737452994,-0.397511273197587,0.309448026061513,1.00035115341129,13582,-0.146675163855471,0.0969980468470699,2011,4,2011-08-03,_current,Maize-Soybean,-1,5
