"Year","Treatment","Block","Sample","Upper","Lower","Pct_dead","Mass_root","Mass_rhizome","Soil_length","Biomass_notes","Num_cores","Fert_kg_ha","Pct_N_root","Pct_C_root","CN_notes_root","Pct_N_rhizome","Pct_C_rhizome","CN_notes_rhizome","Midpoint","Layer_fraction","Mass_total","Biomass_g_cm3","Biomass_g_m2","Mass_root_C","Mass_root_N","Mass_rhizome_C","Mass_rhizome_N","Mass_total_C","Mass_total_N","C_g_cm3","N_g_cm3","C_g_m2","N_g_m2"
2011,"Maize",1,"3",100,126,"3",0.03,0,106,"",3,180,0.69,34.5,"",NA,NA,NA,117.666666666667,1.35897435897436,0.03,2.482421687283e-05,6.4542963869358,0.01035,0.000207,0,0,0.01035,0.000207,8.56435482112635e-06,1.71287096422527e-07,2.22673225349285,0.044534645069857
2011,"Maize",1,"4",0,10,"1",0.86,0,30,"",3,180,0.53,43.91,"",NA,NA,NA,5,1,0.86,0.00251441734458576,251.441734458576,0.377626,0.004558,0,0,0.377626,0.004558,0.00110408065600761,1.33264119263045e-05,110.408065600761,1.33264119263045
2011,"Maize",1,"4",10,30,"",NA,0,60,"",3,180,NA,NA,"Sample Lost",NA,NA,NA,20,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2011,"Maize",1,"4",30,50,"2",0.06,0,60,"",3,180,0.69,37.97,"",NA,NA,NA,40,1,0.06,8.7712232950666e-05,17.5424465901332,0.022782,0.000414,0,0,0.022782,0.000414,3.33043348513679e-05,6.05214407359595e-07,6.66086697027358,0.121042881471919
2011,"Maize",1,"4",50,100,"0",0.11,0,150,"",3,180,0.67,32.67,"",NA,NA,NA,75,1,0.11,6.43223041638217e-05,32.1611520819109,0.035937,0.000737,0,0,0.035937,0.000737,2.10140967703206e-05,4.30959437897606e-07,10.5070483851603,0.215479718948803
2011,"Maize",1,"4",100,126,"",NA,0,92,"",3,180,0.58,31.59,"",NA,NA,NA,115.333333333333,1.17948717948718,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2011,"Maize",2,"1",0,10,"2",0.18,0,30,"",3,180,0.9,44.75,"",NA,NA,NA,5,1,0.18,0.000526273397703996,52.6273397703996,0.08055,0.00162,0,0,0.08055,0.00162,0.000235507345472538,4.73646057933597e-06,23.5507345472538,0.473646057933596
2011,"Maize",2,"1",10,30,"25",0.1,0,60,"",3,180,1.12,41.45,"",NA,NA,NA,20,1,0.1,0.000146187054917777,29.2374109835553,0.04145,0.00112,0,0,0.04145,0.00112,6.05945342634184e-05,1.6372950150791e-06,12.1189068526837,0.32745900301582
2011,"Maize",2,"1",30,50,"10",0.04,0,60,"",3,180,1.12,40.9,"",NA,NA,NA,40,1,0.04,5.84748219671107e-05,11.6949643934221,0.01636,0.000448,0,0,0.01636,0.000448,2.39162021845483e-05,6.5491800603164e-07,4.78324043690965,0.130983601206328
2011,"Maize",2,"1",50,100,"10",0.11,0,150,"",3,180,0.81,35.54,"",NA,NA,NA,75,1,0.11,6.43223041638217e-05,32.1611520819109,0.039094,0.000891,0,0,0.039094,0.000891,2.28601468998222e-05,5.21010663726956e-07,11.4300734499111,0.260505331863478
2011,"Maize",2,"1",100,126,"2",0.01,0,111,"",3,180,0.82,33.5,"",NA,NA,NA,118.5,1.42307692307692,0.01,7.90200296852847e-06,2.0545207718174,0.00335,8.2e-05,0,0,0.00335,8.2e-05,2.64717099445704e-06,6.47964243419334e-08,0.68826445855883,0.0168470703289027
2011,"Maize",2,"2",0,10,"20",0,0,30,"",3,180,1.92,44.19,"",NA,NA,NA,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Maize",2,"2",10,30,"10",0.01,0,60,"",3,180,1.25,37.31,"",NA,NA,NA,20,1,0.01,1.46187054917777e-05,2.92374109835553,0.003731,0.000125,0,0,0.003731,0.000125,5.45423901898225e-06,1.82733818647221e-07,1.09084780379645,0.0365467637294442
2011,"Maize",2,"2",30,50,"2",0.02,0,60,"",3,180,0.96,41.19,"",NA,NA,NA,40,1,0.02,2.92374109835553e-05,5.84748219671107,0.008238,0.000192,0,0,0.008238,0.000192,1.20428895841264e-05,2.80679145442131e-07,2.40857791682529,0.0561358290884262
2011,"Maize",2,"2",50,100,"5",0.15,0,150,"",3,180,0.84,35.11,"",NA,NA,NA,75,1,0.15,8.7712232950666e-05,43.856116475333,0.052665,0.00126,0,0,0.052665,0.00126,3.07957649889788e-05,7.36782756785594e-07,15.3978824944894,0.368391378392797
2011,"Maize",2,"2",100,126,"3",0.01,0,53,"",3,180,0.63,38.66,"",NA,NA,NA,108.833333333333,0.67948717948718,0.01,1.654947791522e-05,4.3028642579572,0.003866,6.3e-05,0,0,0.003866,6.3e-05,6.39802816202405e-06,1.04261710865886e-07,1.66348732212625,0.0271080448251304
2011,"Maize",2,"3",0,10,"0",0.12,0,30,"",3,180,1.27,43.61,"",NA,NA,NA,5,1,0.12,0.000350848931802664,35.0848931802664,0.052332,0.001524,0,0,0.052332,0.001524,0.000153005219159142,4.45578143389383e-06,15.3005219159142,0.445578143389383
2011,"Maize",2,"3",10,30,"3",0.06,0,60,"",3,180,1.12,38.34,"",NA,NA,NA,20,1,0.06,8.7712232950666e-05,17.5424465901332,0.023004,0.000672,0,0,0.023004,0.000672,3.36288701132854e-05,9.8237700904746e-07,6.72577402265707,0.196475401809492
2011,"Maize",2,"3",30,50,"5",0.08,0,60,"",3,180,0.79,36.25,"",NA,NA,NA,40,1,0.08,0.000116949643934221,23.3899287868443,0.029,0.000632,0,0,0.029,0.000632,4.23942459261552e-05,9.23902187080349e-07,8.47884918523105,0.18478043741607
2011,"Maize",2,"3",50,100,"5",0.11,0,150,"",3,180,1.05,41.17,"",NA,NA,NA,75,1,0.11,6.43223041638217e-05,32.1611520819109,0.045287,0.001155,0,0,0.045287,0.001155,2.64814926242454e-05,6.75384193720128e-07,13.2407463121227,0.337692096860064
2011,"Maize",2,"3",100,126,"3",0,0,88,"",3,180,NA,NA,"NEM",NA,NA,NA,114.666666666667,1.12820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Maize",2,"4",0,10,"",0.07,0,30,"",3,180,1.54,45.46,"",NA,NA,NA,5,1,0.07,0.000204661876884887,20.4661876884887,0.031822,0.001078,0,0,0.031822,0.001078,9.30392892318698e-05,3.15179290402727e-06,9.30392892318698,0.315179290402726
2011,"Maize",2,"4",10,30,"5",0.06,0,60,"",3,180,1.5,41.83,"",NA,NA,NA,20,1,0.06,8.7712232950666e-05,17.5424465901332,0.025098,9e-04,0,0,0.025098,9e-04,3.66900270432636e-05,1.31568349425999e-06,7.33800540865272,0.263136698851998
2011,"Maize",2,"4",30,50,"5",0.08,0,60,"",3,180,1.05,38.41,"",NA,NA,NA,40,1,0.08,0.000116949643934221,23.3899287868443,0.030728,0.00084,0,0,0.030728,0.00084,4.49203582351344e-05,1.22797126130932e-06,8.98407164702688,0.245594252261865
2011,"Maize",2,"4",50,100,"5",0.05,0,150,"",3,180,0.84,31.18,"",NA,NA,NA,75,1,0.05,2.92374109835553e-05,14.6187054917777,0.01559,0.00042,0,0,0.01559,0.00042,9.11622474467255e-06,2.45594252261865e-07,4.55811237233628,0.122797126130932
2011,"Maize",2,"4",100,126,"3",0.08,0,92,"",3,180,1.05,35.55,"",NA,NA,NA,115.333333333333,1.17948717948718,0.08,7.62715069136226e-05,19.8305917975419,0.02844,0.00084,0,0,0.02844,0.00084,2.71145207077928e-05,8.00850822593038e-07,7.04977538402614,0.20822121387419
2011,"Maize",3,"1",0,10,"30",0.07,0,30,"",3,180,1.43,44.56,"",NA,NA,NA,5,1,0.07,0.000204661876884887,20.4661876884887,0.031192,0.001001,0,0,0.031192,0.001001,9.11973323399058e-05,2.92666483945389e-06,9.11973323399058,0.292666483945389
2011,"Maize",3,"1",10,30,"25",0.06,0,60,"",3,180,1.25,38.23,"",NA,NA,NA,20,1,0.06,8.7712232950666e-05,17.5424465901332,0.022938,0.00075,0,0,0.022938,0.00075,3.35323866570396e-05,1.09640291188333e-06,6.70647733140792,0.219280582376665
2011,"Maize",3,"1",30,50,"15",0.04,0,60,"",3,180,1.01,37.88,"",NA,NA,NA,40,1,0.04,5.84748219671107e-05,11.6949643934221,0.015152,0.000404,0,0,0.015152,0.000404,2.21502625611415e-05,5.90595701867818e-07,4.4300525122283,0.118119140373564
2011,"Maize",3,"1",50,100,"20",0.03,0,150,"",3,180,1.06,37.86,"",NA,NA,NA,75,1,0.03,1.75424465901332e-05,8.7712232950666,0.011358,0.000318,0,0,0.011358,0.000318,6.64157027902443e-06,1.85949933855412e-07,3.32078513951221,0.092974966927706
2011,"Maize",3,"1",100,126,"25",0,0,56,"",3,180,NA,NA,"NEM",NA,NA,NA,109.333333333333,0.717948717948718,0,0,0,0,0,0,0,0,0,0,0,0,0
